GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ibicos,br.com.ibicos.ibicos.domain.listener,SignedUpUserListener,43,0,0,0,13,0,3,0,3,0
ibicos,br.com.ibicos.ibicos.domain.listener,PasswordResetRequestListener,43,0,0,0,13,0,3,0,3,0
ibicos,br.com.ibicos.ibicos.domain.event,SignedUpUserEvent,9,0,0,0,2,0,2,0,2,0
ibicos,br.com.ibicos.ibicos.domain.event,PasswordResetRequestEvent,9,0,0,0,2,0,2,0,2,0
ibicos,br.com.ibicos.ibicos.core.swagger,SwaggerConfig,32,0,0,0,11,0,3,0,3,0
ibicos,br.com.ibicos.ibicos.domain.exception,InvalidInsertionObjectException,4,0,0,0,2,0,1,0,1,0
ibicos,br.com.ibicos.ibicos.domain.exception,InvalidTokenException,4,0,0,0,2,0,1,0,1,0
ibicos,br.com.ibicos.ibicos.domain.exception,UserAlreadyExistsException,11,0,0,0,2,0,1,0,1,0
ibicos,br.com.ibicos.ibicos.domain.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
ibicos,br.com.ibicos.ibicos.domain.exception,EmailSendingException,4,0,0,0,2,0,1,0,1,0
ibicos,br.com.ibicos.ibicos.core.web,WebConfig,35,0,0,0,3,0,2,0,2,0
ibicos,br.com.ibicos.ibicos.domain.entity,AdCity,276,0,52,0,13,0,43,0,17,0
ibicos,br.com.ibicos.ibicos.domain.entity,Statistics,300,0,46,0,11,0,44,0,21,0
ibicos,br.com.ibicos.ibicos.domain.entity,Statistics.StatisticsBuilder,90,0,0,0,1,0,10,0,10,0
ibicos,br.com.ibicos.ibicos.domain.entity,ProviderStatistics,153,0,24,0,7,0,25,0,13,0
ibicos,br.com.ibicos.ibicos.domain.entity,ProviderStatistics.ProviderStatisticsBuilder,44,0,0,0,1,0,6,0,6,0
ibicos,br.com.ibicos.ibicos.domain.entity,Person,273,0,48,0,13,0,43,0,19,0
ibicos,br.com.ibicos.ibicos.domain.entity,CustomerStatistics,54,0,8,0,4,0,12,0,8,0
ibicos,br.com.ibicos.ibicos.domain.entity,Address,392,0,70,0,13,0,59,0,24,0
ibicos,br.com.ibicos.ibicos.domain.entity,User,395,0,70,0,15,0,58,0,23,0
ibicos,br.com.ibicos.ibicos.domain.entity,Evaluate,248,0,34,0,13,0,40,0,23,0
ibicos,br.com.ibicos.ibicos.domain.entity,CustomerStatistics.CustomerStatisticsBuilderImpl,7,0,0,0,1,0,2,0,2,0
